filename,original_filename,stage,recording_date,caption
images/before/1947-05-05_disc_sleeve-bonded.JPG,5_5_1947_stuckinwrapper.JPG,before,1947-05-05,"May 5, 1947: Environmental controls — humidity, heat, cold, and improper storage — caused the paper sleeves to bond to the lacquer, along with palmitic acid exudation."
images/before/1947-05-05_disc_sleeve-bonded_web.JPG,5_5_1947_stuckinwrapper_resize.JPG,before,1947-05-05,"May 5, 1947: Environmental controls — humidity, heat, cold, and improper storage — caused the paper sleeves to bond to the lacquer, along with palmitic acid exudation. (Web-resolution copy.)"
images/process/sleeve-release-mineral-oil,—,process,1947-05-05,"May 5, 1947: Removing the paper should be slow and methodical, not pulling lacquer or damaging grooves. The key is to brush a light film of mineral oil onto the paper, wait, then easily remove the paper from the disc."
images/before/1947-05-06_disc6_acid-mold-buildup_close.JPG,5_6_1947_disc6_before_close_resize.JPG,before,1947-05-06,"May 6, 1947: Side view of the acid buildup combined with possible mold throughout the grooves."
images/before/1947-05-06_disc6_damage_flat-view.JPG,5_6_1947_disc6_before_flat_close_resize.JPG,before,1947-05-06,"May 6, 1947: Another view showing the damage to the disc."
images/process/1947-05-06_vinegar-pass_partial-clean.JPG,5_6_1947_close_vinegarpass_close_resize.JPG,process,1947-05-06,"May 6, 1947: Close-up of non-grooved areas. The disc was rinsed with a distilled water and vinegar mix, applied and removed quickly so as not to damage the lacquer. This method is not effective."
images/process/1947-05-06_disc4_wet-cleaning-in-progress.JPG,5_6_1947_Disc4___1_.JPG,process,1947-05-06,"May 6, 1947 (Disc #4): After the vinegar method and rinse, the full Pryse OHS Method was applied and cleaned the disc entirely."
images/after/1947-05-05_disc_cleaned_turntable.JPG,46_resize.JPG,after,1947-05-05,"May 5, 1947: View of cleaned disc on the transcription turntable, grooves recovered for playback."
images/after/1947-05-05_disc_cleaned_groove-detail.JPG,47_resize.JPG,after,1947-05-05,"May 5, 1947: Raking-light detail of cleaned groove field after full treatment."
images/after/1947-05-06_disc_cleaned_full-view.JPG,54_resize.JPG,after,1947-05-06,"May 6, 1947: View of cleaned disc mounted for transfer."
images/after/1947-05-06_disc_cleaned_label-detail.JPG,56_resize.JPG,after,1947-05-06,"May 6, 1947: Label detail post-treatment — St. Luke's Methodist Church, Municipal Auditorium, Disc #4."
